,OSEBuildingID,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions,SteamUse,Electricity,NaturalGas,PropertyGFABuilding(s)Pct,PropertyGFAParkingPct,LargestPropertyUseTypeGFAPct,SecondLargestPropertyUseTypeGFAPct,ThirdLargestPropertyUseTypeGFAPct,BuildingType_is_campus,BuildingType_is_NonResidential,BuildingType_is_Nonresidential_COS,BuildingType_is_Nonresidential_WA
193,369,Self-Storage Facility,47.61591,-122.33238,1964,1,5,0,93660,Self-Storage Facility,93660.0,NotUsed,0.0,NotUsed,0.0,,940359.1875,6.09,False,True,False,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
194,370,Large Office,47.61597,-122.33086,1980,1,18,64660,349055,Office,348270.0,Parking,69634.0,NotUsed,0.0,79.0,24224888.0,168.88,False,True,False,84.3708833375633,15.6291166624367,99.77510707481629,19.949291658907622,0.0,0.0,1.0,0.0,0.0
195,371,Mixed Use Property,47.6177,-122.3306,2000,1,11,195621,185760,Parking,182820.0,Office,164192.0,Fitness Center/Health Club/Gym,37782.0,94.0,9944328.0,72.42,False,True,True,48.70719831349753,51.29280168650247,98.41731266149871,88.38931955211025,20.339147286821706,0.0,1.0,0.0,0.0
196,373,Large Office,47.61431,-122.34244,1979,1,24,116721,427155,Office,424044.0,Parking,107300.0,NotUsed,0.0,79.0,26144226.0,176.43,False,True,False,78.53904198751187,21.460958012488142,99.27169294518383,25.11968723297164,0.0,0.0,1.0,0.0,0.0
197,374,Mixed Use Property,47.6177,-122.3545,1980,1,4,38700,70647,Laboratory,42389.0,Parking,38700.0,Office,28258.0,,8381544.5,91.13,False,True,True,64.60808252626958,35.391917473730416,60.001132390618146,54.77939615270287,39.998867609381854,0.0,1.0,0.0,0.0
198,375,Large Office,47.6182,-122.352,1982,1,6,124216,272410,Office,274002.0,Parking,122624.0,NotUsed,0.0,64.0,20179120.0,141.95,False,True,False,68.68183124656477,31.318168753435227,100.58441320069014,45.01450020190155,0.0,0.0,1.0,0.0,0.0
199,376,Large Office,47.61598,-122.34369,2002,1,6,83591,203880,Office,191814.0,Parking,72178.0,Other - Restaurant/Bar,5322.0,74.0,14913424.0,103.97,False,True,False,70.92193647359211,29.07806352640788,94.0818128310771,35.40219737100255,2.6103590347263097,0.0,1.0,0.0,0.0
200,377,Large Office,47.61734,-122.34434,1947,1,3,48512,144118,Office,146157.0,Parking,48199.0,NotUsed,0.0,94.0,5569686.0,46.03,False,True,True,74.81596843689975,25.184031563100245,101.41481286168279,33.44412217765997,0.0,0.0,1.0,0.0,0.0
201,379,Large Office,47.6176,-122.35686,1984,1,8,61986,191117,Office,158681.0,Parking,70190.0,Other,21782.0,3.0,29949248.0,208.79,False,True,False,75.5095751531985,24.4904248468015,83.02819738694099,36.726193902164646,11.397206946530137,0.0,1.0,0.0,0.0
202,381,Supermarket / Grocery Store,47.7019,-122.36374,1956,1,1,0,60880,Supermarket/Grocery Store,61666.0,NotUsed,0.0,NotUsed,0.0,54.0,14736775.0,384.27,False,True,True,100.0,0.0,101.29106438896189,0.0,0.0,0.0,1.0,0.0,0.0
203,382,Small- and Mid-Sized Office,47.60227,-122.33202,1900,1,5,0,50176,Office,50328.0,Other,8329.0,Restaurant,4253.0,77.0,2933288.75,24.91,False,True,True,100.0,0.0,100.30293367346938,16.599569515306122,8.476163903061224,0.0,1.0,0.0,0.0
